year,month,fips,usercnt,tweetcnt,usercnt_all,tweetcnt_all,srb,srb_using_tweet
2018,1,45079,7,8,3408,27954,2.05399061033,0.286184445875
2018,1,45045,23,31,3716,52706,6.1894510226,0.588168329981
2018,1,45083,8,9,1857,34374,4.30802369413,0.261825798569
2018,1,45035,6,9,777,8966,7.72200772201,1.0037921035
2018,1,45043,1,2,418,5803,2.39234449761,0.344649319318
2018,1,45091,7,7,1391,14785,5.03235082674,0.473452823808
2018,1,45007,5,5,999,10684,5.00500500501,0.467989517035
2018,2,45045,14,24,3553,43207,3.94033211371,0.555465549564
2018,2,45057,6,6,755,6205,7.94701986755,0.966962127317
2018,2,45085,1,1,411,7714,2.43309002433,0.129634430905
2018,2,45013,4,5,1078,9248,3.71057513915,0.540657439446
2018,2,45075,3,3,423,7704,7.09219858156,0.389408099688
2018,2,45015,6,7,814,8963,7.37100737101,0.780988508312
2018,2,45021,1,1,274,1645,3.6496350365,0.607902735562
2018,2,45063,10,29,2267,25592,4.41111601235,1.13316661457
2018,2,45055,1,1,241,2209,4.14937759336,0.452693526483
2018,2,45007,1,1,1020,8180,0.980392156863,0.122249388753
2018,2,45035,2,2,665,6718,3.00751879699,0.297707651087
2018,2,45083,8,8,1821,29293,4.39319055464,0.273102789062
2018,2,45043,1,1,398,4534,2.51256281407,0.220555800618
2018,2,45091,8,8,1264,12315,6.32911392405,0.649614291514
2018,2,45041,3,4,804,9841,3.73134328358,0.40646275785
2018,2,45003,2,2,758,9216,2.63852242744,0.217013888889
2018,2,45051,17,22,3231,41654,5.26152893841,0.52816056081
2018,2,45077,1,1,1328,13201,0.753012048193,0.075751836982
2018,2,45019,11,12,3834,34850,2.86906624935,0.344332855093
2018,2,45079,14,18,3350,24940,4.17910447761,0.721732157177
2018,3,45043,2,2,591,5513,3.38409475465,0.362778886269
2018,3,45091,8,8,1485,12385,5.38720538721,0.645942672588
2018,3,45001,1,1,54,343,18.5185185185,2.91545189504
2018,3,45075,6,8,464,11634,12.9310344828,0.687639676809
2018,3,45083,9,10,1953,25615,4.60829493088,0.390396252196
2018,3,45035,6,9,767,7484,7.82268578879,1.20256547301
2018,3,45071,1,1,211,2711,4.73933649289,0.36886757654
2018,3,45063,10,36,2603,29501,3.84172109105,1.22029761703
2018,3,45015,3,3,916,8940,3.27510917031,0.335570469799
2018,3,45055,1,1,319,2589,3.13479623824,0.386249517188
2018,3,45007,5,7,1119,9378,4.46827524576,0.746427809768
2018,3,45087,1,10,78,1503,12.8205128205,6.65335994677
