year,fips,srb
2016,6031,17.37967914
2017,6031,18.47679135
2018,6031,18.58556602
2019,6031,14.83585859
2020,6031,14.46280992
2021,6031,7.109004739
2022,6031,10.43338684
2016,6033,7.832898172
2017,6033,6.681514477
2018,6033,2.683363148
2019,6033,14.06649616
2020,6033,15.49295775
2021,6033,11.53846154
2022,6033,26.12826603
2016,6035,3.225806452
2017,6035,5.934718101
2018,6035,6.837606838
2019,6035,5.235602094
2020,6035,7.042253521
2016,6037,12.59151465
2017,6037,16.70228527
2018,6037,19.0202954
2019,6037,20.0275497
2020,6037,24.63742681
2021,6037,19.1733871
2022,6037,19.897307
2016,6039,10.6631123
2017,6039,7.158315299
2018,6039,10.29944688
2019,6039,7.799171338
2020,6039,8.995502249
2021,6039,6.993006993
2022,6039,7.107709131
2016,6041,2.06682742
2017,6041,4.044190176
2018,6041,6.66468313
2019,6041,6.591500434
2020,6041,7.908611599
2021,6041,8.667211774
2022,6041,9.010736196
2018,6043,0.189143181
2019,6043,0.256871307
2020,6043,0.440917108
2021,6043,0.530785563
2016,6045,5.042016807
2017,6045,5.042668735
2018,6045,5.736137667
2019,6045,6.392045455
2020,6045,8.482563619
2021,6045,8.588957055
2022,6045,9.389671362
2016,6047,10.09637448
2017,6047,12.2622049
2018,6047,12.00750469
2019,6047,12.68633048
2020,6047,12.41208109
2021,6047,7.505253678
2022,6047,12.35044384
2016,6051,0.358680057
2017,6051,1.174693741
2018,6051,2.151462995
2019,6051,1.517450683
2020,6051,2.156101768
2021,6051,2.901915264
2022,6051,1.438848921
2016,6053,7.150317346
2017,6053,8.23675195
2018,6053,8.810932082
2019,6053,8.666185212
2020,6053,11.82848694
2021,6053,7.205240175
2022,6053,7.67611737
2016,6055,4.123418171
2017,6055,5.032021958
2018,6055,5.660377358
2019,6055,4.64472774
2020,6055,8.212255212
2021,6055,5.556584553
2022,6055,6.057983557
2016,6057,1.792757261
2017,6057,1.855861429
2018,6057,2.360346184
2019,6057,2.789400279
2020,6057,6.558508802
2021,6057,3.814973772
2022,6057,6.543723974
2016,6059,5.987202141
2017,6059,7.8171854
2018,6059,10.1529058
2019,6059,10.49190452
2020,6059,13.64141932
2021,6059,9.260813609
2022,6059,9.85642332
2016,6061,4.386308451
2017,6061,6.749872644
2018,6061,7.36443884
2019,6061,7.823613087
2020,6061,9.283434871
2021,6061,7.894736842
2022,6061,5.684668116
2016,6063,2.008032129
2017,6063,1.184834123
2019,6063,2.222222222
2020,6063,2.777777778
2021,6063,3.424657534
2016,6065,13.03641332
2017,6065,13.20156598
2018,6065,15.04669982
2019,6065,15.5068906
2020,6065,17.16206352
2021,6065,13.88888889
2022,6065,15.36508608
2016,6067,12.57171188
2017,6067,15.25869038
2018,6067,16.55020924
2019,6067,14.67660022
2020,6067,19.56880192
2021,6067,13.40782123
2022,6067,18.08898614
2016,6069,7.805724198
2017,6069,9.429726089
2018,6069,9.365244537
2019,6069,11.11111111
2020,6069,7.213706041
2021,6069,9.791921665
2022,6069,7.874015748
2016,6071,11.75366957
2017,6071,13.1222586
2018,6071,14.27016691
2019,6071,13.56381217
2020,6071,14.13445294
2021,6071,10.15275708
2022,6071,10.10427376
2016,6073,9.110733681
2017,6073,10.92066055
2018,6073,13.20078132
2019,6073,14.97087063
2020,6073,19.18004416
2021,6073,14.35680627
2022,6073,14.83603852
2016,6075,7.254731769
2017,6075,9.949202446
2018,6075,11.57352703
2019,6075,14.24906611
2020,6075,19.35374725
2021,6075,17.06491171
2022,6075,17.30110081
2016,6077,15.37013802
2017,6077,15.60247605
2018,6077,16.73318267
2019,6077,17.0722385
2020,6077,17.53402722
2021,6077,11.47710318
2022,6077,13.00138313
2016,6079,3.963287443
2017,6079,5.497472145
2018,6079,6.948867914
2019,6079,7.02689605
2020,6079,6.654502522
2021,6079,6.868918145
2022,6079,8.369723435
2016,6081,4.39132301
2017,6081,5.071311063
2018,6081,6.430919992
2019,6081,7.204071292
2020,6081,11.30919658
2021,6081,9.432945235
2022,6081,7.496090169
2016,6083,5.165289256
2017,6083,7.337561008
2018,6083,10.69497455
2019,6083,12.17839706
2020,6083,12.12074423
2021,6083,7.790368272
2022,6083,10.70462299
2016,6085,7.417974322
2017,6085,8.975163556
2018,6085,10.54359616
2019,6085,10.38305227
2020,6085,15.93749253
2021,6085,9.206423907
2022,6085,10.17941938
2016,6087,4.584965135
2017,6087,7.666982366
2018,6087,8.919776732
2019,6087,8.583690987
2020,6087,10.89476124
2021,6087,8.300030741
2022,6087,12.38218444
2016,6089,7.140538786
2017,6089,8.31702544
2018,6089,8.717551337
2019,6089,13.58695652
2020,6089,10.77199282
2021,6089,7.127192982
2022,6089,11.83020181
2017,6091,2.544529262
2020,6091,6.622516556
2016,6093,2.675585284
2017,6093,3.539823009
2018,6093,4.373757455
2019,6093,4.47177194
2020,6093,3.293807642
2021,6093,2.700270027
2022,6093,6.51465798
2016,6095,14.17960837
2017,6095,13.23728893
2018,6095,13.64708243
2019,6095,15.12434708
2020,6095,17.00430356
2021,6095,13.46210126
2022,6095,12.28135467
2016,6097,5.581024517
2017,6097,5.896635449
2018,6097,8.963555365
2019,6097,9.880081454
2020,6097,13.38931124
2021,6097,10.95231735
2022,6097,10.10262989
2016,6099,14.16844709
2017,6099,16.67481065
2018,6099,18.66961693
2019,6099,17.32312181
2020,6099,18.00947867
2021,6099,11.0974106
2022,6099,11.80400891
2016,6101,10.13250195
2017,6101,10.20793951
2018,6101,8.801341157
2019,6101,12.39157373
2020,6101,15.60062403
2021,6101,9.433962264
2022,6101,14.83679525
2016,6103,4.968944099
2017,6103,3.908431044
2018,6103,8.953168044
2019,6103,6.930693069
2020,6103,6.711409396
2021,6103,9.63081862
2022,6103,6.12244898
2016,6107,11.16589327
2017,6107,13.95109773
2018,6107,15.76926219
2019,6107,15.22198732
2020,6107,11.75862515
2021,6107,10.03028009
2022,6107,10.30927835
2016,6109,2.810962755
2017,6109,4.408523145
2018,6109,3.629764065
2019,6109,4.593175853
2020,6109,9.36967632
2021,6109,7.518796992
2022,6109,5.917159763
2016,6111,9.433098269
2017,6111,10.88483982
2018,6111,13.22831188
2019,6111,13.58930924
2020,6111,14.67110661
2021,6111,12.42236025
2022,6111,11.77330302
2016,6113,6.494487238
2017,6113,8.398055187
2018,6113,11.62958682
2019,6113,11.76701314
2020,6113,13.88681499
2021,6113,7.456670697
2022,6113,10.33769814
2016,6115,5.640612409
2017,6115,10.91519731
2018,6115,8.844953174
2019,6115,10.86169442
2020,6115,6.896551724
2021,6115,8.905852417
2022,6115,6.25
2016,8001,5.637583893
2017,8001,8.791946309
2018,8001,9.510189489
2019,8001,9.350163628
2020,8001,9.457755359
2021,8001,9.239297813
2022,8001,7.049518569
2016,8003,5.163511188
2017,8003,4.266211604
2018,8003,6.289308176
2019,8003,6.426735219
2020,8003,4.893964111
2022,8003,8.474576271
2016,8005,2.473650247
2017,8005,5.01696916
2018,8005,6.39922564
2019,8005,6.737046812
2020,8005,10.2646674
2021,8005,7.755880483
2022,8005,12.54868023
2018,8007,5.47645126
2019,8007,4.511278195
2020,8007,1.519756839
2017,8011,10.86956522
2016,8013,4.845492777
2017,8013,5.984042553
2018,8013,8.84399768
2019,8013,9.72425736
2020,8013,12.05295396
2021,8013,9.736070381
2022,8013,11.50212242
2016,8014,3.48189415
2017,8014,4.452633195
2018,8014,4.670558799
2019,8014,7.00821653
2020,8014,7.823129252
2021,8014,4.401408451
2022,8014,6.827492035
2016,8015,0.886524823
2017,8015,0.492125984
2018,8015,1.222493888
2019,8015,2.525252525
2020,8015,3.157894737
2021,8015,1.39275766
2022,8015,3.546099291
2017,8019,0.313676286
2017,8021,11.36363636
2016,8029,5.128205128
2017,8029,5.263157895
2018,8029,8.695652174
2019,8029,4.784688995
2022,8029,7.246376812
2016,8031,7.254089178
2017,8031,8.356827551
2018,8031,11.1423384
2019,8031,11.29050653
2020,8031,15.96531497
2021,8031,13.33333333
2022,8031,14.09944998
2016,8035,5.143645716
2017,8035,6.033867514
2018,8035,8.216216216
2019,8035,8.287292818
2020,8035,9.225092251
2021,8035,5.402579296
2022,8035,10.97308489
2016,8037,1.665741255
2017,8037,2.484325092
2018,8037,2.621774527
2019,8037,4.099960953
2020,8037,5.519317612
2021,8037,1.259049418
2022,8037,3.99840064
2016,8041,7.766243752
2017,8041,8.712040395
2018,8041,12.26332188
2019,8041,12.03495082
2020,8041,12.86565547
2021,8041,8.983329014
2022,8041,13.76395361
2016,8043,3.205128205
2017,8043,1.560062403
2018,8043,2.923976608
2019,8043,1.375515818
2020,8043,4.347826087
2021,8043,3.853564547
2022,8043,5.089058524
2016,8045,3.227888961
2017,8045,1.505570611
2018,8045,4.039662137
2019,8045,4.603580563
2020,8045,3.168567807
2021,8045,8.547008547
2022,8045,5.714285714
2016,8049,0.568181818
2017,8049,0.289519398
2018,8049,1.095290252
2019,8049,1.049317943
2020,8049,2.567394095
2021,8049,3.404255319
2022,8049,2.469135802
2016,8051,2.136752137
2017,8051,3.582395087
2018,8051,1.268230818
2019,8051,3.802281369
2020,8051,1.112347052
2021,8051,1.519756839
2022,8051,2.136752137
2017,8055,2.352941176
2018,8055,8.571428571
2022,8055,8.474576271
2016,8059,4.733879222
2017,8059,6.678754911
2018,8059,9.719295861
2019,8059,9.011420414
2020,8059,11.55157177
2021,8059,8.550028265
2022,8059,12.30434419
2019,8063,3.861003861
2021,8063,6.172839506
2022,8063,7.352941176
2019,8065,2.51572327
2020,8065,1.406469761
2022,8065,2.840909091
2016,8067,2.06043956
2017,8067,5.117707267
2018,8067,5.116096025
2019,8067,7.182320442
2020,8067,3.543586109
