county,fips,year,link
Newberry,45071,2016,1
Union,45087,2016,1
Cherokee,45021,2017,1
Edgefield,45037,2017,1
Lee,45061,2017,1
McCormick,45065,2017,1
Newberry,45071,2017,1
Pickens,45077,2017,1
Barnwell,45011,2018,1
Calhoun,45017,2018,1
Chester,45023,2018,1
Clarendon,45027,2018,1
Kershaw,45055,2018,1
Lee,45061,2018,1
Newberry,45071,2018,1
Union,45087,2018,1
